Na,businessname,telephone,Website we made,websiteurl,,email,linkedin,facebookprofile,facebookmessenger,instagram,twitter,google_rank,domainregistered,domainexpiry,domainnameserver,domainregistrar,instagram_followers,instagram_follows,instagram_totalphotos,instagram_average_likes,instagram_average_comments,instagram_is_verified,instagram_highlightreel_count,instagram_is_bizaccount,instagram_accountname,gmb_claimed,facebookpixel,googlepixel,criteopixel,googlestars,googlecount,yelpstars,yelpcount,facebookstars,facebookcount,address,city,state,zip,country,mobilefriendly,googleanalytics,schemamarkup,usewordpress,useshopify,linkedinanalytics,telephone LineType,Website We Made
,Innovative Plumbing,(616) 648-6543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1845 Meadowfield Dr NE,Grand Rapids,MI,49505,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Innovative_Plumbing.html
,GLGC Plumbing LLC,(269) 579-3061,,,,,,https://www.facebook.com/glgcplumbingllc/,https://m.me/glgcplumbingllc/,,,,,,,,,,,,,,,,,,,,,,,,,4.8,19,19319 16 Mile Rd,Marshall,MI,49068,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/GLGC_Plumbing_LLC.html
,Tri-County Plumbing & Drain Cleaning Inc.,(517) 321-2323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6751 E Bellevue Hwy,Eaton Rapids,MI,48827,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Tri-County_Plumbing_&_Drain_Cleaning_Inc..html
,Pifer Plumbing,(517) 543-5914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617 W Seminary St,Charlotte,MI,48813,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Pifer_Plumbing.html
,"Northwoods Plumbing, LLC",(517) 206-5153,,,,,,,,,,,,,,,,,,,,,,,,unclaimed,,,,3,6,,,,,8730 Wheeler Rd,Concord,MI,49237,US,,,,,,,CELL PHONE,"https://<your-username>.github.io/<repository-name>/Northwoods_Plumbing,_LLC.html"
,Plumbing With Pride,(517) 395-6527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159 W Pearl St,Jackson,MI,49201,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Plumbing_With_Pride.html
,Root's Drain Service,(517) 525-5041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,Lansing,MI,48911,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Root's_Drain_Service.html
,T L Plumbing and Drain Cleaning,(517) 414-2613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jackson,MI,49203,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/T_L_Plumbing_and_Drain_Cleaning.html
,Northern Plumbing,(517) 521-4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785 Alchin Rd,Webberville,MI,48892,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Northern_Plumbing.html
,Sherwood Heating,(517) 783-1755,,https://fr.yelp.ca/biz/sherwood-heating-jackson,,a_imbo@hotmail.com,https://www.linkedin.com/company/31517,,,,https://www.twitter.com/yelpsupport,,,,,,,,,,,,,,,unclaimed,n,n,n,5,9,,,,,4000 Trumble Rd,Jackson,MI,49201,US,y,y,y,n,n,n,CELL PHONE,https://<your-username>.github.io/<repository-name>/Sherwood_Heating.html
,Conklin Plumbing,(734) 320-2982,,http://veteranpaintingllc.com/,,veteranpainting1@gmail.com,,,,,,,2015-11-10,2023-11-10,wixdns.net,Network Solutions,,,,,,,,,,verified,n,y,n,5,2,,,3,10,4111 Morton Rd,Stockbridge,MI,49285,US,y,n,n,n,n,n,CELL PHONE,https://<your-username>.github.io/<repository-name>/Conklin_Plumbing.html
,R A Baker Plumbing,(269) 209-7578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Leroy,MI,49051,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/R_A_Baker_Plumbing.html
,Ely Plumbing,(269) 998-4359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8744 Dolphin St,Portage,MI,49024,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Ely_Plumbing.html
,Peugeot Drains,(269) 275-4316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalamazoo,MI,49009,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Peugeot_Drains.html
,Sumner Plumbing,(269) 615-1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,Allegan,MI,49010,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Sumner_Plumbing.html
,Graham's Installation's,(517) 240-5948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albion,MI,49224,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Graham's_Installation's.html
,Jims Redi-Rooter,(269) 668-2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45120 County Road 652,Mattawan,MI,49071,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Jims_Redi-Rooter.html
,Emergency Plumbing Services,(616) 218-8590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3529 38th St,Hamilton,MI,49419,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Emergency_Plumbing_Services.html
,Phantom Plumbing,(517) 525-1266,,,,,,https://www.facebook.com/111823677026932/,https://m.me/111823677026932/,,,,,,,,,,,,,,,,,verified,,,,5,11,,,5,16,9735 Towner Rd,Portland,MI,48875,US,,,,,,,CELL PHONE,https://<your-username>.github.io/<repository-name>/Phantom_Plumbing.html
